	Word	PoS		Freq	Ra	Disp
	&	Conj	:	136	97	0.91
	x	Prep	:	16	63	0.75
	'	Gen	:	479	100	0.95
	's	Gen	:	4599	100	0.97
	*	Uncl	:	15	71	0.77
	0	Num	%	26	88	0.85
	@	@	0	26	88	0.85
	@	@	0s	0	9	0.61
	000	Num	%	15	64	0.74
	@	@	000	15	63	0.74
	01	Num	:	11	34	0.12
	1	Num	%	385	96	0.90
	@	@	1	385	96	0.90
	@	@	1s	1	28	0.66
	1st	Ord	:	13	86	0.89
	2	Num	%	345	95	0.90
	@	@	2	344	95	0.90
	@	@	2s	1	27	0.66
	3	Num	%	251	95	0.91
	@	@	3	250	95	0.91
	@	@	3s	0	20	0.71
	4	Num	%	202	93	0.92
	@	@	4	201	93	0.92
	@	@	4s	0	24	0.75
	5	Num	%	176	93	0.92
	@	@	5	176	93	0.92
	@	@	5s	1	23	0.67
	6	Num	%	135	94	0.92
	@	@	6	134	94	0.92
	@	@	6s	0	16	0.70
	7	Num	%	107	94	0.91
	@	@	7	107	94	0.91
	@	@	7s	0	17	0.49
	8	Num	%	97	93	0.91
	@	@	8	97	93	0.91
	@	@	8s	0	12	0.64
	9	Num	%	80	93	0.90
	@	@	9	80	93	0.90
	@	@	9s	0	8	0.47
	10	Num	%	187	93	0.91
	@	@	10	186	93	0.91
	@	@	10s	1	35	0.70
	10%	NoC	:	13	69	0.83
	11	Num	%	93	91	0.89
	@	@	11	92	91	0.89
	@	@	11s	0	12	0.71
	12	Num	%	121	91	0.90
	@	@	12	121	91	0.90
	@	@	12s	0	12	0.54
	13	Num	%	76	90	0.89
	@	@	13	76	90	0.89
	@	@	13s	0	12	0.69
	14	Num	%	80	91	0.89
	@	@	14	80	91	0.89
	@	@	14s	0	10	0.65
	15	Num	%	110	88	0.90
	@	@	15	109	88	0.90
	@	@	15s	0	21	0.73
	16	Num	%	81	90	0.90
	@	@	16	81	90	0.90
	@	@	16s	1	23	0.62
	17	Num	%	63	91	0.87
	@	@	17	63	91	0.87
	18	Num	%	81	92	0.89
	@	@	18	81	91	0.89
	@	@	18s	0	18	0.76
	18th	Ord	:	10	79	0.89
	19	Num	%	53	90	0.86
	@	@	19	53	90	0.86
	19th	Ord	:	12	82	0.89
	20	Num	%	133	90	0.91
	@	@	20	131	90	0.91
	@	@	20s	1	46	0.84
	20%	NoC	:	11	65	0.82
	21	Num	%	56	89	0.86
	@	@	21	56	89	0.86
	@	@	21s	0	8	0.60
	22	Num	%	53	91	0.87
	@	@	22	53	91	0.87
	23	Num	%	48	88	0.86
	@	@	23	48	88	0.86
	@	@	23s	0	8	0.62
	24	Num	%	65	85	0.88
	@	@	24	65	85	0.88
	25	Num	%	77	85	0.89
	@	@	25	77	85	0.89
	@	@	25s	0	14	0.72
	26	Num	%	44	86	0.84
	@	@	26	44	86	0.84
	27	Num	%	43	88	0.84
	@	@	27	43	88	0.84
	28	Num	%	50	88	0.85
	@	@	28	50	88	0.85
	@	@	28s	0	7	0.57
	29	Num	%	40	85	0.83
	@	@	29	40	85	0.83
	30	Num	%	116	88	0.89
	@	@	30	114	88	0.89
	@	@	30s	1	50	0.85
	31	Num	%	51	87	0.79
	@	@	31	51	87	0.79
	32	Num	%	20	89	0.89
	@	@	32	20	89	0.89
	@	@	32s	0	6	0.43
	33	Num	%	17	79	0.91
	@	@	33	17	79	0.91
	34	Num	%	15	81	0.91
	@	@	34	15	81	0.91
	35	Num	%	25	85	0.91
	@	@	35	25	85	0.91
	@	@	35s	0	12	0.70
	36	Num	%	17	83	0.91
	@	@	36	17	83	0.91
	37	Num	%	14	84	0.90
	@	@	37	14	84	0.90
	38	Num	%	15	80	0.91
	@	@	38	15	80	0.91
	39	Num	:	13	81	0.90
	40	Num	%	58	89	0.92
	@	@	40	57	89	0.92
	@	@	40s	1	47	0.86
	41	Num	%	12	79	0.91
	@	@	41	12	79	0.91
	42	Num	%	14	85	0.91
	@	@	42	14	84	0.91
	@	@	42s	0	4	0.19
	43	Num	:	12	82	0.90
	44	Num	%	12	82	0.91
	@	@	44	12	82	0.91
	45	Num	%	22	83	0.91
	@	@	45	22	83	0.92
	@	@	45s	0	11	0.64
	46	Num	:	11	80	0.91
	47	Num	%	11	81	0.89
	@	@	47	11	81	0.89
	48	Num	:	15	82	0.90
	50	Num	%	68	87	0.92
	@	@	50	67	87	0.92
	@	@	50s	1	51	0.87
	50%	NoC	:	11	69	0.84
	52	Num	%	10	79	0.88
	@	@	52	10	79	0.88
	55	Num	%	12	80	0.91
	@	@	55	12	80	0.91
	60	Num	%	43	85	0.92
	@	@	60	41	84	0.92
	@	@	60s	2	63	0.87
	65	Num	%	17	80	0.87
	@	@	65	17	80	0.87
	70	Num	%	29	83	0.91
	@	@	70	26	83	0.91
	@	@	70s	2	60	0.87
	75	Num	%	17	82	0.91
	@	@	75	17	82	0.91
	@	@	75s	0	9	0.60
	80	Num	%	28	85	0.92
	@	@	80	26	85	0.92
	@	@	80s	2	48	0.85
	90	Num	%	25	79	0.92
	@	@	90	23	79	0.92
	@	@	90s	1	46	0.83
	93	Num	:	13	76	0.55
	100	Num	%	69	88	0.92
	@	@	100	69	88	0.92
	120	Num	%	10	78	0.92
	@	@	120	10	78	0.92
	150	Num	%	18	82	0.92
	@	@	150	18	82	0.92
	200	Num	%	35	84	0.92
	@	@	200	35	84	0.92
	250	Num	%	12	82	0.91
	@	@	250	12	82	0.91
	300	Num	%	24	79	0.91
	@	@	300	24	79	0.91
	400	Num	%	17	81	0.91
	@	@	400	17	81	0.91
	500	Num	%	24	85	0.92
	@	@	500	23	85	0.92
	@	@	500s	0	5	0.44
	600	Num	%	11	80	0.91
	@	@	600	11	80	0.91
	1,000	Num	:	19	78	0.90
	1914	Num	:	11	83	0.82
	1920	Num	%	20	87	0.89
	@	@	1920	8	80	0.86
	@	@	1920s	11	79	0.88
	1930	Num	%	25	89	0.89
	@	@	1930	8	81	0.86
	@	@	1930s	17	83	0.88
	1936	Num	:	10	80	0.87
	1939	Num	:	13	86	0.87
	1940	Num	%	19	89	0.90
	@	@	1940	12	86	0.89
	@	@	1940s	7	77	0.89
	1944	Num	:	11	85	0.89
	1945	Num	:	18	86	0.89
	1946	Num	:	10	80	0.89
	1947	Num	:	12	82	0.88
	1948	Num	:	13	83	0.88
	1949	Num	:	10	76	0.86
	1950	Num	%	33	87	0.90
	@	@	1950	13	81	0.89
	@	@	1950s	20	85	0.89
	1951	Num	:	10	79	0.89
	1953	Num	:	10	77	0.88
	1954	Num	:	10	83	0.87
	1956	Num	:	11	80	0.90
	1957	Num	:	12	79	0.89
	1958	Num	:	11	78	0.90
	1959	Num	:	12	82	0.90
	1960	Num	%	45	91	0.90
	@	@	1960	15	85	0.90
	@	@	1960s	30	87	0.89
	1961	Num	:	14	81	0.90
	1962	Num	:	14	81	0.90
	1963	Num	:	14	79	0.90
	1964	Num	:	18	86	0.91
	1965	Num	:	16	83	0.90
	1966	Num	:	17	83	0.90
	1967	Num	:	21	83	0.89
	1968	Num	:	24	82	0.89
	1969	Num	:	20	85	0.90
	1970	Num	%	60	86	0.91
	@	@	1970	26	84	0.90
	@	@	1970s	34	77	0.90
	1971	Num	:	26	81	0.89
	1972	Num	:	27	79	0.89
	1973	Num	:	29	83	0.90
	1974	Num	:	33	82	0.91
	1975	Num	:	34	82	0.90
	1976	Num	:	36	82	0.89
	1977	Num	:	37	82	0.90
	1978	Num	:	37	83	0.90
	1979	Num	:	54	82	0.90
	1980	Num	%	90	90	0.91
	@	@	1980	52	86	0.91
	@	@	1980s	38	82	0.89
	1981	Num	%	56	81	0.90
	@	@	1981	56	81	0.90
	1982	Num	:	52	81	0.90
	1983	Num	:	57	85	0.91
	1984	Num	%	58	87	0.90
	@	@	1984	58	87	0.90
	1985	Num	:	74	82	0.88
	1986	Num	:	79	83	0.88
	1987	Num	:	85	86	0.88
	1988	Num	%	103	84	0.83
	@	@	1988	103	84	0.83
	1989	Num	:	134	82	0.70
	1990	Num	%	160	87	0.73
	@	@	1990	150	84	0.72
	@	@	1990s	10	78	0.89
	1991	Num	%	128	75	0.79
	@	@	1991	128	75	0.79
	1992	Num	%	102	79	0.86
	@	@	1992	102	79	0.86
	1993	Num	:	57	73	0.82
	1994	Num	:	16	63	0.81
	2000	Num	%	16	78	0.87
	@	@	2000	16	78	0.87
	2,000	Num	:	13	75	0.89
	10,000	Num	:	12	84	0.90
	£1	NoC	:	14	77	0.88
	£1.00	NoC	:	1	22	0.76
	£10	NoC	:	11	78	0.89
	£100	NoC	%	13	79	0.90
	@	@	£100	13	79	0.90
	£1,000	NoC	%	10	75	0.86
	@	@	£1,000	10	75	0.86
	a	Det	%	21626	100	0.99
	@	@	a	21626	100	0.99
	A / a	Lett	:	268	100	0.93
	A	NoP	%	38	91	0.85
	@	@	A	10	76	0.62
	@	@	A.	28	87	0.86
	a bit	Adv	:	119	99	0.87
	a great deal	Adv	:	14	96	0.95
	a little	Adv	:	104	100	0.92
	a lot	Adv	:	40	99	0.93
	abandon	Verb	%	44	99	0.96
	@	@	abandon	12	98	0.94
	@	@	abandoned	26	97	0.96
	@	@	abandoning	5	90	0.93
	@	@	abandons	1	47	0.87
	abbey	NoC	%	20	95	0.90
	@	@	abbey	19	95	0.90
	@	@	abbeys	1	34	0.75
	Aberdeen	NoP	%	14	88	0.80
	@	@	Aberdeen	14	88	0.80
	ability	NoC	%	105	100	0.94
	@	@	abilities	13	96	0.91
	@	@	ability	91	100	0.94
	able	Adj	:	304	100	0.97
	abolish	Verb	%	19	92	0.89
	@	@	abolish	6	85	0.88
	@	@	abolished	11	87	0.89
	@	@	abolishes	0	17	0.68
	@	@	abolishing	2	67	0.85
	abolition	NoC	:	12	86	0.88
	abortion	NoC	%	15	97	0.86
	@	@	abortion	12	94	0.86
	@	@	abortions	3	58	0.83
	about	Adv	:	447	100	0.97
	about	Prep	:	1524	100	0.96
	above	Adj	:	27	96	0.89
	above	Adv	:	94	100	0.93
	above	Prep	:	137	100	0.96
	abroad	Adv	:	39	100	0.94
	abruptly	Adv	:	12	88	0.83
	absence	NoC	%	59	100	0.93
	@	@	absence	58	100	0.93
	@	@	absences	2	69	0.88
	absent	Adj	:	15	98	0.94
	absolute	Adj	%	35	100	0.95
	@	@	absolute	35	100	0.95
	absolutely	Adv	:	58	100	0.91
	absorb	Verb	%	27	99	0.94
	@	@	absorb	8	98	0.93
	@	@	absorbed	15	98	0.93
	@	@	absorbing	2	78	0.91
	@	@	absorbs	2	61	0.85
	abstract	Adj	:	19	93	0.86
	abuse	NoC	%	37	98	0.90
	@	@	abuse	34	98	0.90
	@	@	abuses	3	72	0.86
	abuse	Verb	%	12	97	0.92
	@	@	abuse	2	82	0.91
	@	@	abused	7	94	0.90
	@	@	abuses	1	35	0.71
	@	@	abusing	2	72	0.90
	ac	NoC	%	16	72	0.51
	@	@	a.c.	8	26	0.12
	@	@	ac	7	69	0.68
	academic	Adj	:	47	98	0.88
	academy	NoC	%	15	95	0.89
	@	@	academies	1	37	0.82
	@	@	academy	14	95	0.89
	accelerate	Verb	%	11	95	0.92
	@	@	accelerate	4	84	0.89
	@	@	accelerated	4	88	0.92
	@	@	accelerates	1	40	0.80
	@	@	accelerating	1	64	0.86
	accent	NoC	%	19	96	0.93
	@	@	accent	14	95	0.92
	@	@	accents	4	89	0.89
	accept	Verb	%	202	100	0.96
	@	@	accept	98	100	0.94
	@	@	accepted	79	100	0.96
	@	@	accepting	17	98	0.95
	@	@	accepts	8	90	0.92
	acceptable	Adj	:	36	99	0.94
	acceptance	NoC	%	27	97	0.92
	@	@	acceptance	27	97	0.92
	@	@	acceptances	1	19	0.64
	accepted	Adj	:	10	97	0.93
	access	NoC	%	100	100	0.92
	@	@	access	100	100	0.92
	@	@	accesses	0	7	0.25
	access	Verb	%	15	93	0.78
	@	@	access	9	88	0.79
	@	@	accessed	4	59	0.72
	@	@	accesses	0	21	0.72
	@	@	accessing	2	45	0.81
	accessible	Adj	:	16	96	0.88
	accident	NoC	%	84	100	0.92
	@	@	accident	64	100	0.91
	@	@	accidents	20	99	0.89
	accommodate	Verb	%	21	98	0.94
	@	@	accommodate	14	97	0.94
	@	@	accommodated	5	82	0.91
	@	@	accommodates	1	41	0.84
	@	@	accommodating	2	78	0.91
	accommodation	NoC	%	44	100	0.92
	@	@	accommodation	44	100	0.92
	@	@	accommodations	0	26	0.75
	accompany	Verb	%	48	98	0.96
	@	@	accompanied	33	96	0.95
	@	@	accompanies	2	71	0.89
	@	@	accompany	9	95	0.94
	@	@	accompanying	4	91	0.93
	accord	Verb	%	10	96	0.91
	@	@	accord	3	76	0.89
	@	@	accorded	5	84	0.90
	@	@	according	1	52	0.88
	@	@	accords	2	63	0.88
	according to	Prep	:	157	100	0.92
	accordingly	Adv	:	23	100	0.86
	account	NoC	%	200	100	0.93
	@	@	account	135	100	0.93
	@	@	accounts	65	100	0.88
	account	Verb	%	58	100	0.91
	@	@	account	24	99	0.92
	@	@	accounted	14	97	0.91
	@	@	accounting	12	78	0.79
	@	@	accounts	8	93	0.91
	accountability	NoC	%	12	77	0.84
	@	@	accountabilities	0	9	0.61
	@	@	accountability	12	77	0.84
	accountant	NoC	%	22	100	0.82
	@	@	accountant	10	98	0.87
	@	@	accountants	12	89	0.77
	accounting	NoC	:	25	92	0.75
	accumulate	Verb	%	12	97	0.92
	@	@	accumulate	4	86	0.90
	@	@	accumulated	5	93	0.91
	@	@	accumulates	1	38	0.81
	@	@	accumulating	2	67	0.90
	accuracy	NoC	%	17	98	0.92
	@	@	accuracy	17	98	0.92
	accurate	Adj	:	29	100	0.95
